time/s	<Ewe/V>	I/mA	
4,365239889724762E+001	6,8399727E-001	2,0035865E+000
4,375239889472141E+001	6,8409491E-001	1,9997739E+000
4,385239889219520E+001	6,8410379E-001	2,0004094E+000
4,395239888966898E+001	6,8414384E-001	1,9991385E+000
4,405239888714277E+001	6,8421012E-001	2,0035865E+000
4,415239888461656E+001	6,8393677E-001	1,9959613E+000
4,425239888209035E+001	6,8423945E-001	2,0035865E+000
4,435239887956413E+001	6,8414438E-001	2,0067637E+000
4,445239887703792E+001	6,8414336E-001	2,0029511E+000
4,455239887451171E+001	6,8412763E-001	1,9946904E+000
4,465239887198550E+001	6,8402666E-001	1,9997739E+000
4,475239886945928E+001	6,8407339E-001	1,9978676E+000
4,485239886693307E+001	6,8407983E-001	2,0073991E+000
4,495239886440686E+001	6,8406105E-001	2,0023158E+000
4,505239886188065E+001	6,8397397E-001	1,9978676E+000
4,515239885935443E+001	6,8417507E-001	2,0093055E+000
4,525239885682822E+001	6,8400884E-001	2,0023158E+000
4,535239885430201E+001	6,8404597E-001	1,9997739E+000
4,545239885177580E+001	6,8407673E-001	2,0093055E+000
4,555239884924958E+001	6,8411422E-001	2,0093055E+000
4,565239884672337E+001	6,8403614E-001	1,9953259E+000
4,575239884419716E+001	6,8393415E-001	2,0073991E+000
4,585239884167095E+001	6,8407506E-001	2,0061283E+000
4,595239883914473E+001	6,8403959E-001	1,9991385E+000
4,605239883661852E+001	6,8416071E-001	1,9972322E+000
4,615239883409231E+001	6,8400931E-001	2,0054927E+000
4,625239883156610E+001	6,8411708E-001	2,0061283E+000
4,635239882903988E+001	6,8398207E-001	2,0105762E+000
4,645239882651367E+001	6,8414986E-001	2,0067637E+000
4,655239882398746E+001	6,8407345E-001	1,9972322E+000
4,665239882146125E+001	6,8400425E-001	2,0042222E+000
4,675239881893503E+001	6,8399328E-001	2,0023158E+000
4,685239881640882E+001	6,8405151E-001	1,9953259E+000
4,695239881388261E+001	6,8414807E-001	1,9997739E+000
4,705239881135640E+001	6,8406755E-001	1,9985032E+000
4,715239880883018E+001	6,8405092E-001	2,0010448E+000
4,725239880630397E+001	6,8409455E-001	1,9978676E+000
4,735239880377776E+001	6,8422681E-001	2,0080347E+000
4,745239880125155E+001	6,8407696E-001	1,9997739E+000
4,755239879872533E+001	6,8410420E-001	1,9985032E+000
4,765239879619912E+001	6,8400371E-001	2,0029511E+000
4,775239879367291E+001	6,8393391E-001	2,0010448E+000
4,785239879114670E+001	6,8387341E-001	1,9965969E+000
4,795239878862049E+001	6,8398011E-001	1,9978676E+000
4,805239878609427E+001	6,8401480E-001	2,0073991E+000
4,815239878356806E+001	6,8399274E-001	2,0029511E+000
4,825239878104185E+001	6,8397373E-001	2,0010448E+000
4,835239877851564E+001	6,8393511E-001	2,0029511E+000
4,845239877598942E+001	6,8403137E-001	1,9985032E+000
4,855239877346321E+001	6,8396425E-001	2,0042222E+000
4,865239877093700E+001	6,8395865E-001	2,0086701E+000
4,875239876841079E+001	6,8411452E-001	1,9985032E+000
4,885239876588457E+001	6,8388265E-001	2,0042222E+000
4,895239876335836E+001	6,8397921E-001	2,0067637E+000
4,905239876083215E+001	6,8403351E-001	1,9953259E+000
4,915239875830594E+001	6,8405026E-001	1,9965969E+000
4,925239875577972E+001	6,8410891E-001	1,9972322E+000
4,935239875325351E+001	6,8409610E-001	2,0029511E+000
4,945239875072730E+001	6,8401879E-001	2,0073991E+000
4,955239874820109E+001	6,8386519E-001	2,0004094E+000
4,965239874567487E+001	6,8408996E-001	2,0010448E+000
4,975239874314866E+001	6,8385315E-001	1,9946904E+000
4,985239874062245E+001	6,8407106E-001	1,9972322E+000
4,995239873809624E+001	6,8409276E-001	2,0004094E+000
5,005239873557002E+001	6,8400478E-001	1,9972322E+000
5,015239873304381E+001	6,8393785E-001	1,9965969E+000
5,025239873051760E+001	6,8387783E-001	1,9959613E+000
5,035239872799139E+001	6,8395722E-001	2,0029511E+000
5,045239872546517E+001	6,8398255E-001	1,9978676E+000
5,055239872293896E+001	6,8406451E-001	2,0016801E+000
5,065239872041275E+001	6,8384540E-001	2,0042222E+000
5,075239871788654E+001	6,8402630E-001	2,0112119E+000
5,085239871536032E+001	6,8389279E-001	2,0067637E+000
5,095239871283411E+001	6,8397677E-001	2,0016801E+000
5,105239871030790E+001	6,8402851E-001	2,0105762E+000
5,115239870778169E+001	6,8383539E-001	2,0010448E+000
5,125239870525547E+001	6,8389750E-001	1,9991385E+000
5,135239870272926E+001	6,8396956E-001	2,0073991E+000
5,145239870020305E+001	6,8390548E-001	2,0080347E+000
5,155239869767684E+001	6,8388963E-001	2,0099409E+000
5,165239869515062E+001	6,8393099E-001	2,0016801E+000
5,175239869262441E+001	6,8395036E-001	2,0073991E+000
5,185239869009820E+001	6,8394738E-001	2,0023158E+000
5,195239868757199E+001	6,8400025E-001	1,9997739E+000
5,205239868504577E+001	6,8389022E-001	1,9997739E+000
5,215239868251956E+001	6,8383259E-001	2,0086701E+000
5,225239867999335E+001	6,8398094E-001	2,0099409E+000
5,235239867746714E+001	6,8385023E-001	1,9978676E+000
5,245239867494092E+001	6,8390876E-001	2,0061283E+000
5,255239867241471E+001	6,8386382E-001	2,0086701E+000
5,265239866988850E+001	6,8390721E-001	2,0080347E+000
5,275239866736229E+001	6,8388826E-001	2,0080347E+000
5,285239866483607E+001	6,8392926E-001	2,0035865E+000
5,295239866230986E+001	6,8387949E-001	2,0080347E+000
5,305239865978365E+001	6,8389684E-001	2,0048575E+000
5,315239865725744E+001	6,8399096E-001	1,9985032E+000
5,325239865473122E+001	6,8397421E-001	1,9965969E+000
5,335239865220501E+001	6,8397027E-001	2,0035865E+000
5,345239864967880E+001	6,8386072E-001	2,0004094E+000
5,355239864715259E+001	6,8401569E-001	1,9965969E+000
5,365239864462637E+001	6,8378943E-001	2,0054927E+000
5,375239864210016E+001	6,8398994E-001	2,0105762E+000
5,385239863957395E+001	6,8389010E-001	2,0093055E+000
5,395239863704774E+001	6,8388140E-001	2,0105762E+000
5,405239863452152E+001	6,8386942E-001	1,9972322E+000
5,415239863199531E+001	6,8385673E-001	1,9953259E+000
5,425239862946910E+001	6,8385798E-001	2,0016801E+000
5,435239862694289E+001	6,8392783E-001	2,0010448E+000
5,445239862441667E+001	6,8384385E-001	1,9965969E+000
5,455239862189046E+001	6,8388808E-001	2,0048575E+000
5,465239861936425E+001	6,8387491E-001	2,0029511E+000
5,475239861683804E+001	6,8389416E-001	1,9978676E+000
5,485239861431182E+001	6,8388575E-001	2,0029511E+000
5,495239861178561E+001	6,8387741E-001	2,0054927E+000
5,505239860925940E+001	6,8384635E-001	1,9991385E+000
5,515239860673319E+001	6,8386251E-001	2,0099409E+000
5,525239860420697E+001	6,8387157E-001	2,0054927E+000
5,535239860168076E+001	6,8403983E-001	2,0010448E+000
5,545239859915455E+001	6,8382776E-001	2,0004094E+000
5,555239859662834E+001	6,8380624E-001	2,0010448E+000
5,565239859410212E+001	6,8389803E-001	2,0093055E+000
5,575239859157591E+001	6,8393785E-001	1,9985032E+000
5,585239858904970E+001	6,8393469E-001	1,9978676E+000
5,595239858652349E+001	6,8398422E-001	2,0004094E+000
5,605239858399727E+001	6,8400145E-001	2,0080347E+000
5,615239858147106E+001	6,8364286E-001	1,9915133E+000
5,625239857894485E+001	6,8377388E-001	2,0118473E+000
5,635239857641864E+001	6,8390685E-001	1,9991385E+000
5,645239857389242E+001	6,8390203E-001	2,0048575E+000
5,655239857136621E+001	6,8387955E-001	2,0073991E+000
5,665239856884000E+001	6,8397450E-001	2,0048575E+000
5,675239856631379E+001	6,8381149E-001	2,0054927E+000
5,685239856378757E+001	6,8372041E-001	1,9985032E+000
5,695239856126136E+001	6,8390322E-001	2,0093055E+000
5,705239855873515E+001	6,8388492E-001	2,0067637E+000
5,715239855620894E+001	6,8377161E-001	1,9991385E+000
5,725239855368272E+001	6,8391442E-001	1,9991385E+000
5,735239855115651E+001	6,8386197E-001	2,0086701E+000
5,745239854863030E+001	6,8377233E-001	2,0016801E+000
5,755239854610409E+001	6,8381739E-001	1,9972322E+000
5,765239854357787E+001	6,8381071E-001	2,0137534E+000
5,775239854105166E+001	6,8377692E-001	2,0016801E+000
5,785239853852545E+001	6,8377948E-001	2,0099409E+000
5,795239853599924E+001	6,8397671E-001	2,0054927E+000
