time/s	<Ewe/V>	I/mA	
4,275239891998353E+001	7,0821100E-001	1,9946904E+000
4,285239891745732E+001	7,0837069E-001	1,9915133E+000
4,295239891493111E+001	7,0820946E-001	1,9946904E+000
4,305239891240490E+001	7,0836639E-001	1,9883362E+000
4,315239890987868E+001	7,0798719E-001	1,9845235E+000
4,325239890735247E+001	7,0817244E-001	1,9934196E+000
4,335239890482626E+001	7,0826507E-001	1,9934196E+000
4,345239890230005E+001	7,0828640E-001	1,9946904E+000
4,355239889977383E+001	7,0809853E-001	1,9965969E+000
4,365239889724762E+001	7,0812529E-001	1,9908779E+000
4,375239889472141E+001	7,0848846E-001	1,9902425E+000
4,385239889219520E+001	7,0815557E-001	2,0080347E+000
4,395239888966898E+001	7,0828480E-001	1,9915133E+000
4,405239888714277E+001	7,0797431E-001	1,9940550E+000
4,415239888461656E+001	7,0819324E-001	1,9896070E+000
4,425239888209035E+001	7,0815533E-001	1,9959613E+000
4,435239887956413E+001	7,0819294E-001	2,0010448E+000
4,445239887703792E+001	7,0816261E-001	1,9889716E+000
4,455239887451171E+001	7,0824671E-001	1,9921488E+000
4,465239887198550E+001	7,0815343E-001	1,9972322E+000
4,475239886945928E+001	7,0829892E-001	1,9883362E+000
4,485239886693307E+001	7,0823199E-001	1,9902425E+000
4,495239886440686E+001	7,0820993E-001	1,9940550E+000
4,505239886188065E+001	7,0810211E-001	1,9908779E+000
4,515239885935443E+001	7,0800811E-001	1,9864298E+000
4,525239885682822E+001	7,0826739E-001	1,9940550E+000
4,535239885430201E+001	7,0796663E-001	1,9896070E+000
4,545239885177580E+001	7,0827961E-001	2,0048575E+000
4,555239884924958E+001	7,0814168E-001	1,9927841E+000
4,565239884672337E+001	7,0799667E-001	1,9953259E+000
4,575239884419716E+001	7,0827794E-001	1,9889716E+000
4,585239884167095E+001	7,0818943E-001	1,9883362E+000
4,595239883914473E+001	7,0815986E-001	1,9915133E+000
4,605239883661852E+001	7,0832664E-001	1,9921488E+000
4,615239883409231E+001	7,0816571E-001	1,9832528E+000
4,625239883156610E+001	7,0836169E-001	1,9978676E+000
4,635239882903988E+001	7,0783979E-001	1,9927841E+000
4,645239882651367E+001	7,0791996E-001	1,9978676E+000
4,655239882398746E+001	7,0825249E-001	2,0029511E+000
4,665239882146125E+001	7,0812851E-001	1,9908779E+000
4,675239881893503E+001	7,0812386E-001	1,9953259E+000
4,685239881640882E+001	7,0789665E-001	1,9845235E+000
4,695239881388261E+001	7,0817012E-001	1,9978676E+000
4,705239881135640E+001	7,0799810E-001	1,9985032E+000
4,715239880883018E+001	7,0789790E-001	1,9927841E+000
4,725239880630397E+001	7,0807385E-001	2,0004094E+000
4,735239880377776E+001	7,0811945E-001	1,9927841E+000
4,745239880125155E+001	7,0817602E-001	1,9972322E+000
4,755239879872533E+001	7,0860565E-001	1,9953259E+000
4,765239879619912E+001	7,0813167E-001	1,9946904E+000
4,775239879367291E+001	7,0821303E-001	1,9908779E+000
4,785239879114670E+001	7,0822823E-001	1,9946904E+000
4,795239878862049E+001	7,0812774E-001	1,9985032E+000
4,805239878609427E+001	7,0797098E-001	1,9978676E+000
4,815239878356806E+001	7,0826656E-001	1,9896070E+000
4,825239878104185E+001	7,0812166E-001	1,9997739E+000
4,835239877851564E+001	7,0796031E-001	1,9889716E+000
4,845239877598942E+001	7,0794094E-001	1,9883362E+000
4,855239877346321E+001	7,0838094E-001	1,9946904E+000
4,865239877093700E+001	7,0779383E-001	1,9921488E+000
4,875239876841079E+001	7,0809799E-001	1,9991385E+000
4,885239876588457E+001	7,0790321E-001	1,9902425E+000
4,895239876335836E+001	7,0791215E-001	1,9864298E+000
4,905239876083215E+001	7,0794559E-001	1,9965969E+000
4,915239875830594E+001	7,0799834E-001	1,9985032E+000
4,925239875577972E+001	7,0818001E-001	1,9908779E+000
4,935239875325351E+001	7,0786440E-001	1,9908779E+000
4,945239875072730E+001	7,0800835E-001	1,9832528E+000
4,955239874820109E+001	7,0815736E-001	1,9889716E+000
4,965239874567487E+001	7,0819128E-001	2,0004094E+000
4,975239874314866E+001	7,0796949E-001	1,9864298E+000
4,985239874062245E+001	7,0827007E-001	1,9985032E+000
4,995239873809624E+001	7,0789498E-001	1,9959613E+000
5,005239873557002E+001	7,0819014E-001	1,9908779E+000
5,015239873304381E+001	7,0806766E-001	1,9921488E+000
5,025239873051760E+001	7,0799488E-001	1,9965969E+000
5,035239872799139E+001	7,0810336E-001	1,9896070E+000
5,045239872546517E+001	7,0829386E-001	1,9965969E+000
5,055239872293896E+001	7,0795172E-001	1,9959613E+000
5,065239872041275E+001	7,0794678E-001	1,9902425E+000
5,075239871788654E+001	7,0823109E-001	1,9991385E+000
5,085239871536032E+001	7,0809525E-001	1,9877007E+000
5,095239871283411E+001	7,0797068E-001	1,9965969E+000
5,105239871030790E+001	7,0811778E-001	1,9965969E+000
5,115239870778169E+001	7,0814258E-001	1,9934196E+000
5,125239870525547E+001	7,0798242E-001	1,9927841E+000
5,135239870272926E+001	7,0781368E-001	1,9927841E+000
5,145239870020305E+001	7,0819598E-001	1,9896070E+000
5,155239869767684E+001	7,0779055E-001	1,9864298E+000
5,165239869515062E+001	7,0795494E-001	1,9985032E+000
5,175239869262441E+001	7,0826542E-001	1,9921488E+000
5,185239869009820E+001	7,0807767E-001	1,9927841E+000
5,195239868757199E+001	7,0802748E-001	2,0023158E+000
5,205239868504577E+001	7,0793158E-001	1,9927841E+000
5,215239868251956E+001	7,0823038E-001	1,9927841E+000
5,225239867999335E+001	7,0796341E-001	1,9927841E+000
5,235239867746714E+001	7,0777601E-001	1,9997739E+000
5,245239867494092E+001	7,0803326E-001	1,9985032E+000
5,255239867241471E+001	7,0803630E-001	1,9927841E+000
5,265239866988850E+001	7,0811141E-001	1,9959613E+000
5,275239866736229E+001	7,0787436E-001	1,9915133E+000
5,285239866483607E+001	7,0818508E-001	1,9908779E+000
5,295239866230986E+001	7,0783389E-001	1,9915133E+000
5,305239865978365E+001	7,0804858E-001	1,9921488E+000
5,315239865725744E+001	7,0792252E-001	1,9883362E+000
5,325239865473122E+001	7,0794183E-001	1,9965969E+000
5,335239865220501E+001	7,0793682E-001	1,9921488E+000
5,345239864967880E+001	7,0782709E-001	1,9991385E+000
5,355239864715259E+001	7,0812488E-001	1,9959613E+000
5,365239864462637E+001	7,0803887E-001	2,0048575E+000
5,375239864210016E+001	7,0769471E-001	1,9946904E+000
5,385239863957395E+001	7,0817131E-001	1,9934196E+000
5,395239863704774E+001	7,0786381E-001	1,9934196E+000
5,405239863452152E+001	7,0782471E-001	1,9883362E+000
5,415239863199531E+001	7,0790958E-001	1,9953259E+000
5,425239862946910E+001	7,0808083E-001	2,0004094E+000
5,435239862694289E+001	7,0778996E-001	1,9934196E+000
5,445239862441667E+001	7,0807540E-001	1,9953259E+000
5,455239862189046E+001	7,0805675E-001	2,0010448E+000
5,465239861936425E+001	7,0827711E-001	1,9883362E+000
5,475239861683804E+001	7,0810461E-001	1,9870653E+000
5,485239861431182E+001	7,0793086E-001	1,9864298E+000
5,495239861178561E+001	7,0777416E-001	2,0023158E+000
5,505239860925940E+001	7,0808846E-001	1,9965969E+000
5,515239860673319E+001	7,0813274E-001	1,9870653E+000
5,525239860420697E+001	7,0789063E-001	1,9908779E+000
5,535239860168076E+001	7,0796716E-001	1,9870653E+000
5,545239859915455E+001	7,0768660E-001	1,9864298E+000
5,555239859662834E+001	7,0795536E-001	1,9921488E+000
5,565239859410212E+001	7,0789063E-001	1,9921488E+000
5,575239859157591E+001	7,0806831E-001	2,0004094E+000
5,585239858904970E+001	7,0799887E-001	1,9927841E+000
5,595239858652349E+001	7,0803243E-001	1,9953259E+000
5,605239858399727E+001	7,0785034E-001	2,0023158E+000
5,615239858147106E+001	7,0788306E-001	1,9908779E+000
5,625239857894485E+001	7,0822442E-001	1,9953259E+000
5,635239857641864E+001	7,0771414E-001	1,9959613E+000
5,645239857389242E+001	7,0784771E-001	1,9883362E+000
5,655239857136621E+001	7,0797390E-001	1,9991385E+000
5,665239856884000E+001	7,0793730E-001	1,9946904E+000
5,675239856631379E+001	7,0804560E-001	1,9921488E+000
5,685239856378757E+001	7,0812529E-001	1,9946904E+000
5,695239856126136E+001	7,0794111E-001	1,9972322E+000
5,705239855873515E+001	7,0796645E-001	1,9972322E+000
5,715239855620894E+001	7,0796067E-001	1,9946904E+000
5,725239855368272E+001	7,0794231E-001	1,9896070E+000
5,735239855115651E+001	7,0808554E-001	1,9915133E+000
5,745239854863030E+001	7,0790839E-001	1,9927841E+000
